epoch,train_loss,val_loss,val_acc_top1,val_acc_top5,lr,epoch_time_s
118,0.566172,0.701075,93.8400,99.4400,0.00037706,54.0
192,2.300690,2.301413,11.1400,51.6400,0.00010000,53.3
119,0.568068,0.695604,94.1200,99.3600,0.00036928,54.2
193,2.300817,2.301387,11.1000,51.6000,0.00010000,52.5
120,0.566468,0.699233,93.8800,99.3600,0.00036153,54.1
194,2.300724,2.301439,11.1200,51.6000,0.00010000,53.8
121,0.566354,0.694438,94.3000,99.3800,0.00035382,53.3
195,2.300755,2.301370,10.9400,51.8400,0.00010000,53.4
122,0.566656,0.696503,93.9600,99.3600,0.00034615,53.6
196,2.300947,2.301398,11.2400,51.6400,0.00010000,53.5
123,0.566964,0.690521,94.2600,99.3600,0.00033851,54.3
197,2.300911,2.301490,11.1800,51.5600,0.00010000,53.2
124,0.566988,0.694836,94.1400,99.2800,0.00033092,53.3
198,2.300641,2.301460,11.0800,51.5800,0.00010000,54.1
125,0.566279,0.691538,94.2800,99.5600,0.00032337,54.5
199,2.300752,2.301410,11.1800,51.5800,0.00010000,53.9
126,0.565315,0.696789,94.0600,99.5000,0.00031587,52.6
200,2.300752,2.301336,10.9400,51.7400,0.00010000,53.5
127,0.565247,0.693282,94.3200,99.2600,0.00030842,48.7
128,0.564259,0.694493,93.8600,99.3800,0.00030102,48.3
129,0.565203,0.694319,94.0600,99.5000,0.00029367,48.7
130,0.564791,0.694069,94.1800,99.3200,0.00028637,48.9
131,0.565258,0.699434,93.7800,99.5800,0.00027913,48.9
132,0.565063,0.689936,94.2800,99.4000,0.00027194,49.0
133,0.564676,0.690995,94.2800,99.2600,0.00026482,48.3
134,0.562138,0.685407,94.6600,99.3400,0.00025775,48.5
135,0.563894,0.690214,94.0800,99.4400,0.00025075,48.6
136,0.563014,0.686041,94.5200,99.4800,0.00024381,48.5
137,0.561641,0.691498,94.3400,99.6000,0.00023694,48.8
138,0.562778,0.689660,94.3400,99.5600,0.00023014,48.7
139,0.562475,0.687910,94.4200,99.4400,0.00022341,48.2
140,0.562122,0.685369,94.4600,99.5800,0.00021675,48.4
141,0.561598,0.685551,94.3200,99.5000,0.00021017,48.3
142,0.561715,0.691316,94.4000,99.3200,0.00020366,48.6
143,0.561906,0.684997,94.5800,99.3600,0.00019722,48.7
144,0.561311,0.687085,94.3600,99.4000,0.00019087,48.5
145,0.560965,0.694480,94.2600,99.4400,0.00018459,48.6
146,0.561040,0.692734,94.3000,99.4000,0.00017840,48.9
147,0.562438,0.687504,94.3000,99.5000,0.00017229,48.9
148,0.559979,0.684180,94.3000,99.5000,0.00016627,48.5
149,0.561222,0.684106,94.6400,99.4200,0.00016033,49.0
150,0.560616,0.686259,94.2600,99.5200,0.00015448,48.8
151,0.559983,0.688080,94.2600,99.4400,0.00014873,48.7
152,0.560951,0.687878,94.3000,99.4000,0.00014306,48.7
153,0.559100,0.686319,94.4600,99.5000,0.00013748,48.4
154,0.559085,0.685378,94.6000,99.5000,0.00013200,48.4
155,0.558854,0.683638,94.7400,99.5200,0.00012662,48.2
156,0.559952,0.680891,94.7400,99.5400,0.00012133,48.7
157,0.559399,0.683554,94.7000,99.6000,0.00011614,48.2
158,0.558487,0.685793,94.4400,99.6000,0.00011105,48.6
159,0.558675,0.686670,94.5800,99.6200,0.00010606,48.2
160,0.558234,0.684907,94.4200,99.5200,0.00010118,48.5
161,0.558161,0.681587,94.5000,99.6200,0.00009640,48.5
162,0.558013,0.681508,94.5400,99.4800,0.00009172,48.9
163,0.557722,0.681422,94.7000,99.5400,0.00008715,48.4
164,0.556935,0.681127,94.5800,99.4200,0.00008268,48.7
165,0.559033,0.679995,94.8800,99.5200,0.00007833,48.8
166,0.556843,0.682276,94.5600,99.5400,0.00007408,48.6
167,0.556866,0.681509,94.7200,99.4400,0.00006995,49.1
168,0.557181,0.682436,94.5800,99.3600,0.00006592,49.2
169,0.558288,0.680898,94.5400,99.4800,0.00006201,48.6
170,0.557793,0.679643,94.8000,99.5400,0.00005821,48.7
171,0.558640,0.678146,94.7200,99.5400,0.00005453,48.7
172,0.558140,0.680691,94.3600,99.5200,0.00005097,48.6
173,0.556508,0.679970,94.6000,99.4800,0.00004752,48.3
174,0.557068,0.679293,94.5600,99.5000,0.00004418,48.5
175,0.557159,0.678485,94.5800,99.5600,0.00004097,48.5
176,0.555921,0.675765,94.7400,99.5400,0.00003788,48.5
177,0.557107,0.675970,94.6200,99.5000,0.00003490,49.2
178,0.557100,0.675174,94.8200,99.5000,0.00003205,48.3
179,0.555940,0.674960,94.9200,99.4600,0.00002932,49.0
180,0.556318,0.675972,94.7600,99.5200,0.00002671,48.3
181,0.557113,0.675298,94.7200,99.5400,0.00002422,48.1
182,0.555928,0.674692,94.9200,99.4800,0.00002186,49.2
183,0.556305,0.674394,94.7800,99.5200,0.00001962,48.7
184,0.556055,0.674745,94.7000,99.6000,0.00001750,48.5
185,0.557185,0.676002,94.6800,99.5400,0.00001551,48.2
186,0.556235,0.676316,94.7200,99.5800,0.00001365,48.9
187,0.556537,0.676018,94.7000,99.5800,0.00001192,48.8
188,0.556836,0.674824,94.7600,99.5800,0.00001031,48.6
189,0.556497,0.675337,94.8800,99.5400,0.00000882,48.9
190,0.555860,0.674867,94.7200,99.5400,0.00000747,48.9
191,0.556610,0.675174,94.6600,99.6000,0.00000624,48.8
192,0.557058,0.675294,94.6800,99.5800,0.00000514,49.0
193,0.556853,0.674765,94.7200,99.5800,0.00000417,48.7
194,0.555537,0.674782,94.7600,99.6000,0.00000333,48.4
195,0.555688,0.674457,94.6600,99.5400,0.00000262,48.7
196,0.555876,0.674459,94.7200,99.6200,0.00000204,48.8
197,0.556466,0.674002,94.7600,99.5800,0.00000158,48.7
198,0.557044,0.674152,94.8200,99.5400,0.00000126,48.9
199,0.555525,0.674352,94.7000,99.5200,0.00000106,48.7
200,0.556541,0.673626,94.8200,99.5600,0.00000100,48.4
