epoch,train_loss,val_loss,val_acc_top1,val_acc_top5,lr,epoch_time_s
99,0.773920,0.959514,82.7800,98.7800,0.00078528,61.1
100,0.766172,0.940922,83.3800,99.0600,0.00078081,61.1
101,0.768015,0.940640,84.2000,98.7800,0.00077632,61.0
102,0.763245,0.944840,83.0800,98.7400,0.00077179,60.9
103,0.763740,0.944813,83.6000,98.2800,0.00076723,61.7
104,0.757162,0.942875,83.7000,98.6600,0.00076264,62.2
105,0.758446,0.935799,83.9600,98.9000,0.00075802,61.8
106,0.752617,0.934920,83.8400,98.6600,0.00075337,62.1
107,0.751325,0.935035,84.2200,98.3600,0.00074869,68.0
108,0.747880,0.931615,84.3600,98.5400,0.00074398,67.5
109,0.742421,0.916594,84.7400,98.6400,0.00073924,69.8
110,0.742781,0.963590,83.0000,98.6200,0.00073447,68.5
111,0.739632,0.921351,84.6400,98.4600,0.00072968,67.7
112,0.735080,0.953344,83.3600,98.4000,0.00072485,68.4
113,0.734415,0.949063,83.2000,98.6400,0.00072001,68.5
114,0.734367,0.954829,83.1200,98.5800,0.00071513,67.8
115,0.735340,0.943019,83.4400,98.4800,0.00071023,69.5
116,0.734251,0.934460,84.2200,98.6400,0.00070531,68.4
117,0.728886,0.936807,84.4000,98.5800,0.00070036,67.6
118,0.725538,0.929172,84.5800,98.7000,0.00069539,68.1
119,0.721197,0.940506,84.2600,98.4800,0.00069040,67.7
120,0.723142,0.950164,83.3000,98.5000,0.00068538,68.5
121,0.720476,0.947268,83.7200,98.5400,0.00068035,68.6
122,0.716331,0.943564,84.0400,98.4600,0.00067529,69.2
123,0.714188,0.936657,84.8800,98.4600,0.00067021,68.4
124,0.711456,0.941603,83.7400,98.6200,0.00066511,68.3
125,0.710794,0.940761,84.0200,98.5000,0.00065999,68.2
126,0.706951,0.973399,83.2200,98.2000,0.00065485,68.5
127,0.705380,0.972985,83.2800,98.1800,0.00064970,68.0
128,0.707226,0.945959,84.1200,98.4400,0.00064453,67.7
129,0.699015,0.944575,84.1400,98.4400,0.00063934,67.1
130,0.703026,0.956832,83.8400,98.4600,0.00063413,68.3
131,0.700279,0.935579,84.7600,98.3800,0.00062891,67.3
132,0.696585,0.932971,84.3800,98.4000,0.00062367,68.8
133,0.695738,0.962494,83.5800,98.4400,0.00061842,68.8
134,0.696076,0.929713,84.7000,98.7400,0.00061316,69.0
135,0.690505,0.939155,84.7600,98.2400,0.00060788,67.9
136,0.691801,0.946604,84.3200,98.4000,0.00060259,67.3
137,0.690927,0.939927,84.8400,98.4200,0.00059728,70.1
138,0.686479,0.937567,84.9600,98.5400,0.00059197,68.7
139,0.684044,0.944309,84.2000,98.4400,0.00058665,68.6
140,0.686540,0.939656,84.8000,98.3400,0.00058131,68.9
141,0.681562,0.944748,84.3600,98.6000,0.00057597,69.1
142,0.678774,0.955276,84.4600,98.2000,0.00057061,68.5
143,0.679000,0.948248,84.4800,98.5200,0.00056525,68.3
144,0.677991,0.956605,84.3400,97.8200,0.00055988,67.0
145,0.675604,0.941891,84.8800,98.3000,0.00055451,66.9
146,0.671625,0.927199,85.1400,98.3800,0.00054912,68.0
147,0.669143,0.948288,84.6600,98.4200,0.00054373,69.7
148,0.670630,0.948641,84.4800,98.3600,0.00053834,69.9
149,0.670342,0.944149,84.9000,98.4400,0.00053294,67.0
150,0.667636,0.944865,84.5000,98.2200,0.00052754,68.5
151,0.669023,0.940880,84.9200,98.4800,0.00052214,68.4
152,0.667582,0.936303,84.6200,98.6600,0.00051673,67.1
153,0.662816,0.945833,84.9400,98.1200,0.00051132,67.2
154,0.661798,0.950551,84.5800,98.1800,0.00050591,69.0
155,0.663322,0.937923,84.6600,98.4400,0.00050050,69.2
156,0.657969,0.950554,84.0600,98.3800,0.00049509,68.8
157,0.660482,0.940176,85.2800,98.3600,0.00048968,67.8
158,0.657166,0.942364,84.6400,98.4000,0.00048427,68.9
159,0.655774,0.934738,85.3400,98.3400,0.00047886,68.6
160,0.653239,0.930500,85.8200,98.5200,0.00047346,68.9
161,0.655021,0.939486,85.1800,98.2200,0.00046806,69.6
162,0.654940,0.958031,84.3200,98.0600,0.00046266,68.5
163,0.654386,0.942218,84.8600,98.7200,0.00045727,67.8
164,0.647431,0.952696,84.9600,98.1200,0.00045188,68.7
165,0.645133,0.946478,85.0400,98.1800,0.00044649,68.0
166,0.647235,0.922189,85.7800,98.3200,0.00044112,68.6
167,0.646577,0.945673,85.0800,98.1000,0.00043575,67.5
168,0.648429,0.938122,85.6000,98.2000,0.00043039,67.8
169,0.645524,0.933550,85.2800,98.5000,0.00042503,68.1
170,0.644256,0.949869,85.0000,97.6800,0.00041969,68.8
171,0.642517,0.956163,84.9800,98.3200,0.00041435,67.6
172,0.638989,0.952839,85.1600,98.0800,0.00040903,67.6
173,0.638812,0.953113,84.8800,98.3600,0.00040372,68.8
174,0.639974,0.935269,85.6400,97.9600,0.00039841,68.9
175,0.634632,0.946040,85.1400,98.1400,0.00039312,68.0
176,0.634291,0.931851,85.2000,98.1600,0.00038784,68.8
177,0.632169,0.952955,85.2200,98.0600,0.00038258,66.0
178,0.631636,0.948012,85.1600,98.1000,0.00037733,60.7
179,0.630894,0.954949,84.6800,98.1600,0.00037209,61.0
180,0.629243,0.947783,85.7200,97.9600,0.00036687,61.6
181,0.630542,0.947480,85.8600,98.1000,0.00036166,61.8
182,0.627937,0.945882,85.5400,97.8000,0.00035647,61.7
183,0.624013,0.949450,85.2200,98.2000,0.00035130,61.4
184,0.624470,0.944108,85.7400,98.1000,0.00034615,61.1
185,0.626757,0.946247,85.2800,98.2400,0.00034101,62.1
186,0.625912,0.942758,85.3600,98.4000,0.00033589,61.5
187,0.619612,0.956568,85.1600,98.0800,0.00033079,61.9
188,0.621788,0.957778,85.0000,97.9000,0.00032571,61.5
189,0.622394,0.947352,85.4000,98.1200,0.00032065,61.5
190,0.620710,0.936179,85.5800,98.1000,0.00031562,61.3
191,0.617937,0.940584,85.6000,98.2000,0.00031060,61.0
192,0.617555,0.950950,85.6800,97.9800,0.00030561,61.6
193,0.614629,0.938546,85.9200,98.2200,0.00030064,62.7
194,0.613978,0.953087,85.4800,97.6600,0.00029569,61.3
195,0.616317,0.933828,86.4800,97.9400,0.00029077,61.6
196,0.612561,0.949584,86.0600,97.4800,0.00028587,61.2
197,0.612759,0.937207,85.8400,98.0600,0.00028099,61.1
198,0.614138,0.952115,85.4000,97.9400,0.00027615,61.5
199,0.609503,0.921228,86.7400,98.2000,0.00027132,61.5
200,0.605382,0.935510,85.8200,97.7800,0.00026653,61.9
201,0.608310,0.945171,85.3000,98.1200,0.00026176,60.8
202,0.606353,0.941742,85.8800,98.1600,0.00025702,61.9
203,0.604774,0.940628,85.9600,98.0200,0.00025231,61.4
204,0.606602,0.934475,85.7400,98.0400,0.00024763,61.5
205,0.605211,0.951628,86.1200,97.7000,0.00024298,61.0
206,0.604548,0.958022,85.4400,98.1400,0.00023836,62.0
207,0.603692,0.954100,85.7000,97.7400,0.00023377,61.9
208,0.601490,0.946923,86.2800,97.8400,0.00022921,61.2
209,0.602097,0.943893,86.3000,97.7400,0.00022468,61.0
210,0.601452,0.939999,86.2600,98.0000,0.00022019,61.1
211,0.597808,0.937668,86.0800,97.8000,0.00021572,61.1
212,0.597229,0.946216,85.8400,97.8000,0.00021130,61.0
213,0.600065,0.932416,86.4400,98.1200,0.00020690,61.2
214,0.594864,0.956463,85.5200,98.0200,0.00020254,60.8
